# DSRRL SpecRGB exact logical-name corpus v1
# recovered source: recovered-source/1.45/v12/asset_integrated_v12.c
# recovered source SHA256: 879b3ec251c36969cf7eabcc5b63164da7c17b6577e74b013e47f7866b3236e2
# recovered symbol: k_spec_names
# exact logical-name count: 769
spec_hash	logical_name
8ee54a72c798062c	bd_a_9290_1_s
8f3b46c72d63ec29	hd_m_9372_s
8f8ff3ca0eb3db98	lg_m_2520_s
8f958b44db18c4a7	wp_m_0231_s
8f9b2aceb491d57b	wp_a_1504_s
8fc3c198bc4b2ab9	lg_f_9310_lg_m_9310_s
903f28d0c33ba755	bd_f_2560_bd_m_2560_1_s
907603342670c00c	wp_a_0102_s
90a68320396b2cf5	am_m_9341_s
90aefec493e4da0e	wp_a_1402_s
90c6ccea2393bb11	am_m_9510_s
90cb770d8c2bc044	am_m_5320_s
90e96fff7a753ae6	wp_a_0607_s
918aa1e2ea461e8a	lg_f_9320_s
918d15f0d6b198a6	wp_a_1305_s
91ef9e347181f814	lg_f_9380_s
9224c42df9460a4f	lg_f_9460_s
9239957b67ccbf04	wp_a_0911_s
92d09846cbfeb874	bd_a_9500_1_s
92eb913f623cc2c8	hd_a_9630_s
934ec0fa9449a595	lg_m_9509_lg_m_9500_s
937f9e7fa5199621	lg_f_9400_lg_m_9400_s
93c2a4fa67cd224c	wp_a_1004_s
94dba2e7ce41fb5b	am_f_9360_s
951b6eacf99b1bd4	hd_m_9300_s
953a700157befb05	hd_a_1000_s
95702ec58fe7dd5e	am_m_9740_s
957fb427c098f9a1	bd_f_9270_bd_m_9270_1_s
968a77c73126016c	hd_m_9371_s
96cec4959461e21b	wp_a_0402_s
96ea43ceb853c1f6	wp_a_1503_s
96eb03c75c0088f3	bd_a_9490_2_s
9727d668c7886330	am_a_2570_s
972f5cd7455ca2e0	wp_a_1538_s
973a7a4099028699	lg_m_9521_lg_f_9521_s
97554b803782d30d	am_f_9280_am_m_9280_s
975b98b27f27477a	am_f_9529_am_f_9521_s
975defe1e9719966	lg_m_9400_s
978d59d0c6fc0998	bd_f_2560_bd_m_2560_2_s
97c53c342a32e2e7	wp_a_0103_s
9838a8ff7e375dc1	wp_a_0606_s
98441e746228e4b8	wp_a_0252_s
988e963664de34b8	bd_f_9400_bd_m_9400_2_s
996a2d4441c0b35b	am_m_2540_s
996c3049b486df1d	bd_m_9280_1_s
9981f69e90e253eb	wp_a_0204_s
9987ae7b6b8cf87f	wp_a_0910_s
9994988b7524c82e	wp_a_0504_s
99a7b219b5c24359	wp_a_0651_s
99bef2f569cb4f53	am_m_9379_am_m_9372_s
9a07e1d64abfadea	lg_m_9372_s
9a7b63af95907b96	hd_a_8200_s
